Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity
20.58,Monday,Unknown,Male,High school,Employee,1-2yr,Other,Owner,2-5yrs,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,2,3,Going straight,Passenger,Female,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
20.58,Monday,31-50,Male,Junior high school,Owner,5-10yr,Lorry (41?100Q),Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,3,Other,Unknown,Unknown,Unknown,Unknown,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
20.58,Monday,31-50,Male,Junior high school,Employee,1-2yr,Pick up upto 10Q,Owner,Unknown,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
20.58,Monday,31-50,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),Unknown,Unknown,Unknown,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,3,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
18.72,Wednesday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Governmental,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
18.72,Wednesday,Over 51,Male,Elementary school,Employee,2-5yr,Pick up upto 10Q,Owner,Above 10yr,No defect, Hospital areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Gravel roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,3,1,Going straight,Passenger,Female,18-30,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
18.72,Wednesday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Unknown,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
18.32,Tuesday,Over 51,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Snow,Collision with pedestrians,1,1,Going straight,Unknown,Unknown,Unknown,Unknown,Driver,Normal,Not a Pedestrian,Driving to the left,Serious Injury
10.83,Sunday,Unknown,Male,Junior high school,Owner,1-2yr,Automobile,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,5,3,Student,Normal,Not a Pedestrian,Driving to the left,Slight Injury
10.83,Sunday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not a Pedestrian,Moving Backward,Slight Injury
13.0,Saturday,Over 51,Male,Unknown,Other,Unknown,Lorry (41?100Q),Owner,Unknown,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Driver or rider,Female,18-30,3,Unknown,Unknown,Not a Pedestrian,Moving Backward,Slight Injury
13.0,Saturday,31-50,Male,High school,Employee,2-5yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,3,Moving Backward,Passenger,Female,31-50,3,Unknown,Normal,Not a Pedestrian,Overtaking,Slight Injury
13.0,Saturday,31-50,Male,Junior high school,Employee,1-2yr,Public (13?45 seats),Owner,Unknown,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Passenger,Female,Over 51,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
13.0,Saturday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Passenger,Female,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
13.17,Friday,31-50,Male,Junior high school,Employee,2-5yr,Other,Owner,2-5yrs,Unknown,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
13.17,Friday,18-30,Male,Junior high school,Employee,No Licence,Other,Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not a Pedestrian,No distancing,Slight Injury
13.17,Friday,18-30,Male,Junior high school,Employee,Above 10yr,Other,Owner,5-10yrs,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,2,2,Moving Backward,Driver or rider,Male,31-50,3,Unknown,Unknown,Not a Pedestrian,Moving Backward,Slight Injury
18.65,Friday,Under 18,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,Unknown,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not a Pedestrian,Changing lane to the left,Slight Injury
18.65,Friday,18-30,Male,Junior high school,Employee,5-10yr,Other,Owner,Unknown,Unknown,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Other,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
20.5,Tuesday,Unknown,Male,High school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,3,1,Other,Driver or rider,Male,Over 51,3,Driver,Normal,Not a Pedestrian,No distancing,Serious Injury
20.5,Tuesday,18-30,Male,High school,Owner,2-5yr,Public (12 seats),Owner,Unknown,Unknown,Other,other,Tangent road with flat terrain,Y Shape,Gravel roads,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Driving at high speed,Serious Injury
20.5,Tuesday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,5-10yrs,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,3,1,Going straight,Unknown,Unknown,Unknown,Unknown,Other,Normal,Not a Pedestrian,Changing lane to the right,Serious Injury
15.33,Thursday,31-50,Male,Junior high school,Owner,Above 10yr,Public (12 seats),Owner,Unknown,Unknown,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
19.17,Saturday,Over 51,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with mountainous terrain and,Other,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Unknown,Unknown,Not a Pedestrian,No distancing,Slight Injury
19.17,Saturday,Under 18,Male,Elementary school,Employee,2-5yr,Other,Owner,2-5yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Other,Unknown,Unknown,Unknown,Unknown,Driver,Normal,Not a Pedestrian,Turnover,Slight Injury
18.0,Saturday,Unknown,Female,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,18-30,2,Driver,Normal,Unknown or other,No distancing,Slight Injury
18.0,Saturday,31-50,Male,Unknown,Employee,Above 10yr,Unknown,Owner,Unknown,No defect,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Getting off,Pedestrian,Male,31-50,2,Unemployed,Normal,Unknown or other,Changing lane to the right,Slight Injury
16.4,Thursday,Under 18,Male,Elementary school,Employee,5-10yr,Public (> 45 seats),Owner,Above 10yr,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Other,2,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
16.4,Thursday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Governmental,Below 1yr,No defect,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Unknown,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Unknown,Unknown,Unknown,Unknown,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
16.13,Thursday,31-50,Male,Elementary school,Employee,Below 1yr,Other,Owner,Unknown,No defect, Church areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,5,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
16.13,Thursday,Over 51,Male,Junior high school,Employee,Below 1yr,Other,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Unknown,Unknown,Unknown,Unknown,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
13.92,Saturday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Unknown,Dry,Daylight,Cloudy,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,2,Employee,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
12.08,Tuesday,Unknown,Female,Junior high school,Owner,5-10yr,Lorry (41?100Q),Owner,Unknown,Unknown,Residential areas,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,1,Going straight,Unknown,Unknown,Unknown,Unknown,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
11.72,Sunday,18-30,Male,High school,Owner,5-10yr,Pick up upto 10Q,Owner,Unknown,No defect,School areas,other,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,1,Moving Backward,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
11.72,Sunday,Over 51,Male,Junior high school,Employee,5-10yr,Automobile,Owner,1-2yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,1,Going straight,Unknown,Unknown,Unknown,Unknown,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
11.72,Sunday,Unknown,Male,Junior high school,Employee,2-5yr,Unknown,Owner,Above 10yr,No defect,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,1,Other,Driver or rider,Female,18-30,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
11.72,Sunday,Unknown,Male,Elementary school,Employee,5-10yr,Other,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,4,1,Going straight,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not a Pedestrian,Changing lane to the left,Slight Injury
17.67,Wednesday,Unknown,Male,Junior high school,Employee,2-5yr,Automobile,Organization,2-5yrs,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Unknown,Unknown,Unknown,Unknown,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
17.67,Wednesday,31-50,Unknown,Junior high school,Employee,Below 1yr,Stationwagen,Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Unknown,Unknown,Not a Pedestrian,No distancing,Slight Injury
13.75,Friday,31-50,Male,Elementary school,Employee,2-5yr,Other,Owner,5-10yrs,Unknown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Wet or damp,Daylight,Normal,Collision with roadside objects,1,2,Going straight,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not a Pedestrian,No priority to vehicle,Slight Injury
13.75,Friday,31-50,Male,Junior high school,Employee,2-5yr,Unknown,Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,1,2,Unknown,Driver or rider,Male,31-50,3,Unknown,Normal,Not a Pedestrian,No distancing,Slight Injury
8.88,Wednesday,Unknown,Male,Junior high school,Employee,2-5yr,Ridden horse,Owner,2-5yrs,No defect, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Unknown,Unknown,Unknown,Unknown,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
8.67,Monday,Under 18,Male,Junior high school,Employee,5-10yr,Unknown,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Unknown,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
8.67,Monday,Unknown,Male,Junior high school,Employee,5-10yr,Other,Owner,Unknown,Unknown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Unknown,Unknown,Unknown,Unknown,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
9.45,Friday,18-30,Male,Junior high school,Employee,Unknown,Lorry (41?100Q),Owner,Above 10yr,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
9.45,Friday,31-50,Male,Junior high school,Owner,5-10yr,Lorry (41?100Q),Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Unknown,Driver or rider,Male,5,2,Driver,Normal,Not a Pedestrian,Overturning,Slight Injury
13.3,Thursday,Over 51,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Unknown,Unknown,Unknown, Church areas,Unknown,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,18-30,3,Driver,Normal,Unknown or other,No priority to vehicle,Slight Injury
13.3,Thursday,Unknown,Female,Junior high school,Employee,Below 1yr,Stationwagen,Owner,Unknown,Unknown,Office areas,other,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Employee,Normal,Not a Pedestrian,Moving Backward,Slight Injury
